subj,response,rt
1,2,4677
1,3,2552
1,3,1693
1,1,1685
1,1,1981
1,4,1730
1,2,2200
1,2,1865
1,3,1878
1,2,2527
1,2,2804
1,3,2272
1,2,1776
1,2,2351
1,3,1893
1,3,2640
1,2,1516
1,2,2946
1,2,5571
1,2,1386
1,3,1797
1,3,1530
1,2,1176
1,2,1215
2,2,4198
2,4,5044
2,3,3761
2,1,3655
2,1,2398
2,4,2210
2,3,3146
2,4,2454
2,4,2967
2,2,3290
2,4,2850
2,3,3798
2,4,3856
2,4,4111
2,3,3041
2,4,4209
2,4,3333
2,4,2693
2,4,3283
2,3,2595
2,4,2357
2,2,2459
2,3,2034
2,4,1489
3,1,6220
3,1,4454
3,2,1944
3,1,2703
3,2,3527
3,2,1904
3,2,1960
3,3,2536
3,2,2831
3,2,3343
3,3,3927
3,2,2966
3,3,3679
3,2,3488
3,3,2047
3,4,3503
3,2,4023
3,2,2000
3,4,1999
3,3,3289
3,3,3311
3,1,2694
3,1,1823
3,3,3807
4,2,4705
4,1,2752
4,2,1721
4,1,1722
4,2,1907
4,3,1720
4,2,1753
4,3,2096
4,2,1876
4,2,2439
4,3,2564
4,2,2706
4,3,3142
4,2,3160
4,3,1157
4,4,3659
4,2,1970
4,2,1814
4,2,2690
4,3,1470
4,2,3035
4,3,2629
4,2,1362
4,2,1767
5,1,2964
5,4,2800
5,2,1752
5,2,1018
5,2,1178
5,3,1220
5,2,1151
5,1,1473
5,2,1340
5,2,1625
5,2,2345
5,2,1613
5,2,1723
5,2,1690
5,3,1176
5,1,1598
5,2,1159
5,2,1160
5,2,1253
5,3,997
5,3,1200
5,4,2145
5,1,951
5,2,1562
6,2,3551
6,4,3498
6,2,2662
6,1,3348
6,3,2072
6,2,1703
6,1,2799
6,2,2174
6,2,3384
6,2,3567
6,3,3665
6,2,2626
6,1,3289
6,2,2721
6,3,2499
6,2,4956
6,2,2182
6,1,2734
6,1,2630
6,2,1909
6,3,2985
6,4,2573
6,1,1804
6,1,1439
7,1,2188
7,1,2313
7,2,1557
7,2,1397
7,2,1668
7,3,1529
7,2,1538
7,3,1541
7,2,1896
7,2,2154
7,4,1951
7,2,1885
7,3,2140
7,2,1453
7,4,1158
7,4,2218
7,2,1672
7,2,2360
7,3,2223
7,3,1389
7,3,1348
7,2,2013
7,1,1514
7,3,1237
8,1,1883
8,2,2045
8,2,1883
8,2,1392
8,2,1072
8,2,1292
8,2,1199
8,3,1519
8,2,1782
8,2,1871
8,2,1473
8,2,1314
8,3,1190
8,2,1820
8,2,838
8,3,1458
8,3,1444
8,2,965
8,3,1750
8,3,1316
8,2,1116
8,2,1180
8,2,1074
8,3,1248
9,1,1924
9,4,3546
9,4,2275
9,3,3296
9,2,5260
9,3,1711
9,1,2354
9,1,1573
9,4,2663
9,3,3742
9,3,5091
9,3,2734
9,1,2613
9,3,4478
9,1,1744
9,1,2421
9,2,3352
9,1,1844
9,1,3499
9,3,2023
9,2,3697
9,4,3332
9,1,1750
9,1,1299
10,2,4972
10,2,3734
10,2,2692
10,1,1871
10,2,3202
10,2,1786
10,1,3185
10,2,2133
10,2,2409
10,2,3288
10,4,3186
10,2,2760
10,4,1523
10,2,2098
10,2,2451
10,3,3993
10,3,2469
10,1,3053
10,3,2348
10,3,2646
10,3,2618
10,2,2650
10,1,1510
10,3,2202
11,2,2808
11,3,3021
11,2,2648
11,1,1094
11,2,1678
11,2,1187
11,2,1656
11,3,1452
11,3,2090
11,3,1952
11,4,2688
11,2,2110
11,3,2376
11,1,1415
11,3,1126
11,3,2758
11,3,2349
11,2,1955
11,3,1329
11,2,2694
11,3,1580
11,3,2134
11,1,1518
11,3,1421
12,2,3342
12,2,5001
12,2,1653
12,1,2738
12,2,1934
12,3,1393
12,3,1285
12,2,1227
12,2,1878
12,1,1446
12,1,1800
12,2,1634
12,1,1639
12,2,1413
12,2,1002
12,3,1889
12,3,1517
12,2,1406
12,3,1354
12,1,1255
12,2,1345
12,1,1697
12,2,1889
12,2,1153
13,1,6212
13,2,4206
13,2,2220
13,2,1676
13,2,1696
13,3,2183
13,3,2912
13,2,2120
13,3,2200
13,2,2001
13,1,2314
13,3,2596
13,3,3273
13,3,3215
13,3,1262
13,3,2275
13,3,1479
13,3,2024
13,3,1823
13,2,1861
13,3,2561
13,2,2579
13,2,2136
13,3,2080
14,4,2472
14,3,467
14,3,523
14,4,371
14,3,471
14,4,548
14,3,1768
14,4,446
14,4,517
14,3,499
14,2,724
14,4,490
14,3,500
14,4,487
14,4,1043
14,3,780
14,3,478
14,2,396
14,4,2922
14,3,811
14,3,985
14,2,423
14,4,567
14,3,1066
15,2,2880
15,2,3014
15,3,1788
15,1,1079
15,2,1277
15,4,1626
15,2,1592
15,2,1601
15,1,1375
15,3,897
15,2,1913
15,2,1539
15,3,1092
15,1,1360
15,3,1421
15,2,938
15,1,1971
15,3,930
15,2,1297
15,2,1338
15,2,1859
15,3,1275
15,1,1287
15,3,1670
16,1,3891
16,4,4119
16,3,3072
16,1,3250
16,2,3032
16,2,2149
16,2,3686
16,1,2226
16,3,2732
16,3,4578
16,2,3547
16,2,4267
16,1,3798
16,2,2699
16,3,2082
16,1,3866
16,1,3186
16,2,3555
16,1,2618
16,2,2363
16,3,3915
16,4,2875
16,2,2363
16,1,1836
17,1,1855
17,4,3148
17,1,1504
17,1,1314
17,1,1141
17,1,1338
17,1,1929
17,1,1134
17,1,1149
17,1,1869
17,1,2320
17,1,3883
17,2,5193
17,1,2636
17,1,2143
17,2,2751
17,2,2082
17,2,3128
17,2,2021
17,2,1375
17,2,1518
17,4,2582
17,1,1393
17,1,1078
18,1,3229
18,3,3237
18,2,2719
18,1,3296
18,1,1973
18,2,2797
18,1,2523
18,2,3297
18,1,2664
18,2,3292
18,4,3907
18,2,3055
18,3,3836
18,1,3684
18,2,2692
18,3,3763
18,1,2953
18,1,2913
18,2,3601
18,2,1962
18,2,3596
18,2,3936
18,1,1723
18,2,2879
19,2,4736
19,3,3353
19,3,1950
19,4,2180
19,2,1477
19,2,1538
19,3,1209
19,2,1158
19,3,1285
19,4,4340
19,3,4236
19,3,2088
19,3,1879
19,2,2202
19,2,2569
19,2,2167
19,3,2177
19,3,1393
19,3,2834
19,3,1414
19,4,1793
19,3,1696
19,3,1559
19,2,1466
20,2,3162
20,2,4881
20,2,3200
20,1,1576
20,2,2312
20,3,1599
20,2,1952
20,2,1879
20,3,2623
20,2,3040
20,2,3416
20,3,3871
20,1,3560
20,1,2351
20,2,1447
20,1,3640
20,2,2232
20,2,1784
20,2,3087
20,3,1633
20,3,1967
20,3,2207
20,1,1695
20,2,2584
21,1,2145
21,2,4558
21,1,1865
21,1,1213
21,2,2218
21,1,1298
21,1,1581
21,4,2080
21,1,1780
21,2,2262
21,4,2557
21,1,2305
21,4,2849
21,1,2057
21,4,1285
21,2,4080
21,2,2444
21,1,2634
21,3,3205
21,2,1772
21,1,3778
21,3,2453
21,3,2175
21,3,3064
22,1,3073
22,3,5864
22,3,2150
22,1,2200
22,2,2039
22,3,1694
22,2,1922
22,3,1784
22,4,1832
22,3,2215
22,4,2529
22,2,2085
22,4,2394
22,2,2524
22,3,1983
22,3,2761
22,2,1952
22,2,2162
22,2,2511
22,3,1863
22,4,1636
22,3,2338
22,2,1758
22,2,1844
23,4,2920
23,3,2041
23,4,1981
23,4,1454
23,4,1343
23,1,1613
23,4,1475
23,4,1863
23,1,2454
23,2,2157
23,2,2972
23,2,1590
23,2,1837
23,1,2017
23,3,1936
23,2,2094
23,4,1665
23,1,1882
23,1,1680
23,2,1930
23,3,2492
23,3,2847
23,2,1227
23,1,1664
24,2,3106
24,3,5676
24,3,3530
24,3,3707
24,3,2967
24,3,2694
24,2,3190
24,3,2281
24,3,3232
24,2,3501
24,2,4114
24,3,2886
24,2,4430
24,2,3231
24,2,2410
24,2,3810
24,3,2834
24,3,3387
24,2,3818
24,3,2254
24,3,4029
24,2,3422
24,2,2296
24,2,2499
25,1,3073
25,1,3956
25,2,4262
25,2,3237
25,2,3717
25,2,2563
25,2,3393
25,4,3276
25,2,3203
25,1,3777
25,4,4829
25,2,4303
25,3,5157
25,1,3797
25,1,1987
25,4,4840
25,1,4380
25,1,4088
25,4,4862
25,1,2884
25,1,3180
25,1,3183
25,1,2562
25,1,1942
26,2,4116
26,3,3278
26,3,2835
26,2,2111
26,2,1830
26,2,1271
26,2,1768
26,2,2158
26,3,2760
26,2,2239
26,3,3174
26,3,2496
26,2,2543
26,2,3343
26,3,1083
26,2,2296
26,2,2888
26,2,1775
26,2,1903
26,2,1423
26,3,1688
26,3,2942
26,2,1047
26,2,1175
27,1,2689
27,1,3141
27,4,2595
27,1,1427
27,1,2078
27,1,1056
27,4,1623
27,1,1423
27,4,1846
27,4,2196
27,1,2298
27,4,1953
27,4,2342
27,1,2364
27,1,1240
27,4,2081
27,1,1521
27,4,1908
27,1,1772
27,4,1609
27,4,2124
27,1,1700
27,1,1204
27,1,996
28,4,2459
28,2,5213
28,3,2687
28,1,2221
28,2,2197
28,3,1726
28,2,2307
28,3,3338
28,2,3110
28,2,3125
28,4,3389
28,2,3294
28,2,2270
28,2,1934
28,4,2166
28,3,2910
28,4,2550
28,1,2622
28,2,2638
28,3,1655
28,2,2598
28,3,2085
28,2,2078
28,2,1510
29,4,1568
29,4,4614
29,1,2079
29,1,2383
29,2,1831
29,2,1671
29,1,2151
29,3,1871
29,1,2456
29,1,1699
29,3,3152
29,1,1007
29,3,467
29,2,528
29,1,1111
29,3,1111
29,4,2200
29,1,956
29,2,816
29,3,567
29,1,383
29,2,615
29,4,351
29,1,991
30,1,5146
30,1,588
30,2,800
30,3,463
30,4,582
30,1,555
