subj,response,rt,version
1,4,6141,4
1,7,2256,4
1,1,2046,4
1,6,2250,4
1,2,2803,4
1,1,2020,4
1,3,2241,4
1,1,1536,4
1,3,1617,4
1,2,2097,4
1,2,1532,4
1,4,2174,4
1,3,1655,4
1,1,1860,4
1,2,1999,4
1,2,2103,4
1,1,1806,4
1,5,2383,4
1,6,1843,4
1,1,2349,4
1,5,2697,4
1,3,2045,4
1,2,1617,4
1,4,2121,4
1,6,2010,4
1,2,1473,4
1,3,1949,4
1,6,1857,4
1,1,1790,4
1,1,1523,4
1,3,9488,4
1,2,2624,4
1,1,2313,4
1,6,2427,4
1,2,2496,4
1,6,2532,4
1,7,1532,4
1,3,1895,4
1,6,1991,4
1,5,1687,4
1,7,2016,4
1,6,1366,4
1,4,1981,4
1,6,1785,4
1,6,1521,4
1,6,1878,4
1,5,1773,4
1,7,1679,4
1,5,1718,4
1,4,1612,4
1,6,1592,4
1,2,2247,4
1,2,1874,4
1,5,1841,4
1,4,1668,4
1,4,1631,4
1,6,1541,4
1,3,2492,4
1,2,2219,4
1,7,1568,4
1,5,1564,4
1,6,4748,4
1,5,2318,4
1,6,1952,4
1,1,1932,4
1,6,2128,4
1,2,2354,4
1,2,1609,4
1,4,81,4
1,1,2472,4
1,5,2444,4
1,2,2295,4
1,2,2037,4
1,5,1655,4
1,3,1694,4
1,1,1633,4
1,5,1664,4
1,3,1855,4
1,6,1684,4
1,5,2801,4
1,6,1344,4
1,2,1532,4
1,6,2464,4
1,3,2404,4
1,5,2369,4
1,6,1404,4
1,6,1782,4
1,3,2091,4
1,2,1618,4
1,6,2440,4
1,1,1892,4
1,1,2491,4
2,4,7882,4
2,6,2005,4
2,2,2574,4
2,7,2778,4
2,1,2053,4
2,3,2750,4
2,4,3098,4
2,6,2925,4
2,1,1859,4
2,2,2743,4
2,5,2584,4
2,1,2948,4
2,7,2722,4
2,1,2779,4
2,1,2157,4
2,1,1717,4
2,1,2039,4
2,4,3136,4
2,6,2074,4
2,1,2242,4
2,7,3029,4
2,6,3485,4
2,1,2329,4
2,6,3052,4
2,6,1571,4
2,1,3040,4
2,3,2942,4
2,6,2953,4
2,1,2895,4
2,1,3273,4
2,3,10218,4
2,1,3159,4
2,2,2146,4
2,7,2295,4
2,1,2362,4
2,6,2347,4
2,6,2291,4
2,2,2823,4
2,3,2942,4
2,7,2763,4
2,7,1897,4
2,4,2603,4
2,7,2385,4
2,3,2468,4
2,7,2464,4
2,6,1756,4
2,6,2513,4
2,5,2239,4
2,4,3821,4
2,2,2554,4
2,6,2493,4
2,2,3074,4
2,3,3212,4
2,7,2638,4
2,1,2309,4
2,3,2168,4
2,6,2624,4
2,3,3127,4
2,4,3959,4
2,7,2745,4
2,4,2688,4
2,4,4932,4
2,6,2815,4
2,7,3,4
2,1,2599,4
2,6,2313,4
2,2,2694,4
2,2,2486,4
2,7,3287,4
2,7,2664,4
